uid,airline,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment,airports-extended-geo-uk-only-join_country,airports-extended-geo-uk-only-join_type,layer,path,dest-airports_name,dest-airports_city,dest-airports_country,dest-airports_lat,dest-airports_long,dest-airports_type,src-airports_name,src-airports_city,src-airports_country,src-airports_lat,src-airports_long,src-airports_type
5815,AA,"24",LHR,"507",BGO,"636",Y,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Bergen Airport Flesland,Bergen,Norway,60.29339981,5.218140125,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5816,AA,"24",LHR,"507",BHD,"467",Y,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,George Best Belfast City Airport,Belfast,United Kingdom,54.6180992126465,-5.87249994277954,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5817,AA,"24",LHR,"507",BLQ,"1538",Y,0,320 319,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Bologna Guglielmo Marconi Airport,Bologna,Italy,44.5354,11.2887,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5818,AA,"24",LHR,"507",BLR,"3131",Y,0,"777",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5819,AA,"24",LHR,"507",BOM,"2997",Y,0,"777",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5820,AA,"24",LHR,"507",BOS,"3448",Y,0,744 777,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5821,AA,"24",LHR,"507",BRU,"302",Y,0,320 319 321,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Brussels Airport,Brussels,Belgium,50.9014015198,4.48443984985,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5822,AA,"24",LHR,"507",BSL,"1423",Y,0,319 321,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,47.59,7.5291667,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5823,AA,"24",LHR,"507",BUD,"1489",Y,0,"320",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Budapest Liszt Ferenc International Airport,Budapest,Hungary,47.42976,19.261093,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5824,AA,"24",LHR,"507",BWI,"3849",Y,0,"767",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.1754,-76.668297,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5825,AA,"24",LHR,"507",CDG,"1382",Y,0,320 319 321,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5826,AA,"24",LHR,"507",CLT,"3876",,0,"333",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019043,-80.9430999755859,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5827,AA,"24",LHR,"507",CPH,"609",Y,0,321 320 319,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.617900848389,12.656000137329,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5828,AA,"24",LHR,"507",CPT,"797",Y,0,744 777,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Cape Town International Airport,Cape Town,South Africa,-33.9648017883,18.6016998291,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
