uid,equipment,dest_name,dest_city,dest_country,dest_lat,dest_long
14610,E90,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,40.471926,-3.56264
14611,E90,Menorca Airport,Menorca,Spain,39.8625984191895,4.21864986419678
14612,E70 E90,Nice-Côte d'Azur Airport,Nice,France,43.6584014893,7.21586990356
14613,E90,Palma De Mallorca Airport,Palma de Mallorca,Spain,39.551700592,2.73881006241
14614,S20,Rotterdam The Hague Airport,Rotterdam,Netherlands,51.956902,4.43722
14615,E90 E70,Venice Marco Polo Airport,Venice,Italy,45.505299,12.3519
14616,E90 E70,Zürich Airport,Zurich,Switzerland,47.464699,8.54917
14618,320,Lanzarote Airport,Arrecife,Spain,28.945499,-13.6052
14619,319 734 320,Málaga Airport,Malaga,Spain,36.6749000549316,-4.49911022186279
14620,319 734,Alicante International Airport,Alicante,Spain,38.2821998596191,-0.55815601348877
14621,734 319,Houari Boumediene Airport,Algier,Algeria,36.6910018920898,3.21540999412537
14622,319 734,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389
14623,777,V.C. Bird International Airport,Antigua,Antigua and Barbuda,17.1367,-61.792702
14624,319 734 320,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846
14625,777,L.F. Wade International International Airport,Bermuda,Bermuda,32.3639984130859,-64.6787033081055
14626,777,Sir Grantley Adams International Airport,Bridgetown,Barbados,13.0746002197,-59.4925003052
14627,734 319,Bordeaux-Mérignac Airport,Bordeaux,France,44.8283004761,-0.715556025505
14628,734,Bari Karol Wojtyła Airport,Bari,Italy,41.138901,16.760599
14629,734 319,Catania-Fontanarossa Airport,Catania,Italy,37.466801,15.0664
14630,777,Cancún International Airport,Cancun,Mexico,21.0365009308,-86.8770980835
14631,734 319,Dubrovnik Airport,Dubrovnik,Croatia,42.5614013671875,18.2681999206543
14632,734 319,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
14633,319 734 320,Faro Airport,Faro,Portugal,37.0144004822,-7.96590995789
14634,734 320 319,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,41.8002778,12.2388889
14635,734 319,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
14636,320 319 734,Genoa Cristoforo Colombo Airport,Genoa,Italy,44.4133,8.8375
14637,734 319,Jersey Airport,Jersey,Jersey,49.2079010009766,-2.1955099105835
14638,777,Norman Manley International Airport,Kingston,Jamaica,17.9356994628906,-76.7874984741211
14639,777,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004
