uid,equipment,dest_name,dest_city,dest_country,dest_lat,dest_long,source_name,source_city,source_country,source_lat,source_long
9496,F50,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
9506,DH4,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,Exeter International Airport,Exeter,United Kingdom,50.7344017028809,-3.41388988494873
9507,DH4,Bergerac-Roumanière Airport,Bergerac,France,44.8252983093262,0.518611013889313,Exeter International Airport,Exeter,United Kingdom,50.7344017028809,-3.41388988494873
9508,DH4,Rennes-Saint-Jacques Airport,Rennes,France,48.0694999695,-1.73478996754,Exeter International Airport,Exeter,United Kingdom,50.7344017028809,-3.41388988494873
9545,F50,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
9629,AR8,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,London City Airport,London,United Kingdom,51.505299,0.055278
9630,F50,Antwerp International Airport (Deurne),Antwerp,Belgium,51.1893997192,4.46027994156,London City Airport,London,United Kingdom,51.505299,0.055278
9631,F50,Brest Bretagne Airport,Brest,France,48.4478988647461,-4.41854000091553,London City Airport,London,United Kingdom,51.505299,0.055278
9632,AR8,Brive Souillac Airport,Brive,France,45.039722,1.485556,London City Airport,London,United Kingdom,51.505299,0.055278
9633,F50,Deauville-Saint-Gatien Airport,Deauville,France,49.3652992249,0.154305994511,London City Airport,London,United Kingdom,51.505299,0.055278
9634,AR8,Dresden Airport,Dresden,Germany,51.1328010559082,13.7672004699707,London City Airport,London,United Kingdom,51.505299,0.055278
9635,AR8,Dublin Airport,Dublin,Ireland,53.421299,-6.27007,London City Airport,London,United Kingdom,51.505299,0.055278
9636,E90,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,41.8002778,12.2388889,London City Airport,London,United Kingdom,51.505299,0.055278
9637,AR8,Peretola Airport,Florence,Italy,43.810001,11.2051,London City Airport,London,United Kingdom,51.505299,0.055278
9638,E90,Milano Linate Airport,Milan,Italy,45.445099,9.27674,London City Airport,London,United Kingdom,51.505299,0.055278
9639,AR8 F50,Nantes Atlantique Airport,Nantes,France,47.1531982422,-1.61073005199,London City Airport,London,United Kingdom,51.505299,0.055278
9640,F50,Paris-Orly Airport,Paris,France,48.7233333,2.3794444,London City Airport,London,United Kingdom,51.505299,0.055278
9641,F50 AR8,Rotterdam The Hague Airport,Rotterdam,Netherlands,51.956902,4.43722,London City Airport,London,United Kingdom,51.505299,0.055278
9649,764 77L 76W,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9650,"764",General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9651,321 320 319,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9652,76W 77L,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985290527,-83.353401184082,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9653,76W 764,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9654,"764",Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
9655,76W,Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
